a	b	eval0	eval1	eval2
5	5	563723	280723	-1.88696
6	5	2.13169e+06	1.06776e+06	-2.114
7	5	7.32879e+06	3.71158e+06	-2.29652
8	5	2.34959e+07	1.20706e+07	-2.44313
9	5	7.14486e+07	3.7313e+07	-2.56029
10	5	2.0858e+08	1.10884e+08	-2.65304
11	5	5.89805e+08	3.19449e+08	-2.72535
12	5	1.62653e+09	8.97997e+08	-2.78044
13	5	4.3981e+09	2.47575e+09	-2.82092
14	5	1.17109e+10	6.72186e+09	-2.84899
15	5	3.08155e+10	1.80343e+10	-2.86648
16	5	8.03664e+10	4.79478e+10	-2.87497
17	5	2.08248e+11	1.2663e+11	-2.87581
18	5	5.37285e+11	3.32882e+11	-2.87022
19	5	1.38263e+12	8.72536e+11	-2.85901
20	5	3.55438e+12	2.2839e+12	-2.84315
21	5	9.14091e+12	5.97804e+12	-2.82373
22	5	2.35247e+13	1.56562e+13	-2.79754
23	5	6.07548e+13	4.1115e+13	-2.77354
24	5	1.57267e+14	1.08211e+14	-2.74259
25	5	4.08214e+14	2.85558e+14	-2.70383
