a	b	eval0	eval1	eval2
1	1	8.10322	4.46649	0.335956
2	1	23.3708	11.8295	0.0914707
3	1	54.6343	28.4315	-0.0508213
4	1	113.907	62.3294	-0.134718
5	1	222.66	127.894	-0.179969
6	1	419.953	251.267	-0.19894
7	1	777.68	480.625	-0.200269
8	1	1429.63	905.753	-0.190259
9	1	2627.48	1695.72	-0.173552
10	1	4849.28	3171.89	-0.153529
11	1	9011.32	5950.28	-0.132568
12	1	16883.4	11220.5	-0.112255
13	1	31906.7	21294.2	-0.0935554
14	1	60808.7	40688.3	-0.0769698
15	1	116802	78267.1	-0.0626693
16	1	225930	151491	-0.0506073
17	1	439681	294858	-0.0406079
18	1	860089	576682	-0.0324305
19	1	1.68973e+06	1.13252e+06	-0.0258138
20	1	3.33142e+06	2.23178e+06	-0.0205034
